ID,X Coordinate,Y Coordinate
155,10.582264283344333,51.08026122834792
156,10.58227392190812,51.08023035101918
157,10.582283560459516,51.08019947368961
158,10.582293198998514,51.080168596359194
159,10.582302837525118,51.08013771902794
160,10.582312476039325,51.080106841695844
161,10.582322114541142,51.08007596436292
162,10.58233175303056,51.08004508702914
163,10.582341391507585,51.08001420969454
164,10.582351029972216,51.07998333235908
165,10.582360668424451,51.0799524550228
166,10.58237030686429,51.07992157768567
167,10.582379945291736,51.07989070034771
168,10.582389583706789,51.079859823008896
169,10.582399222109444,51.07982894566925
170,10.582408860499708,51.07979806832876
171,10.582418498877574,51.07976719098745
172,10.582428137243047,51.07973631364529
173,10.582437775596127,51.07970543630228
174,10.582447413936812,51.07967455895845
175,10.5824570522651,51.07964368161376
176,10.582466690580997,51.079612804268244
